cycle,sample_type,time_elapsed,num_samples,parameter,delta,delta_trials,sample_period,estimated_distribution
2,Gibbs,99.73870829099906,13000000,20x20,0.001,5,1000000,0.5087076923076923
2,Token,143.1491995420074,19000000,20x20,0.001,5,1000000,0.5079901052631579
2,Gibbs,170.4274314159993,11250000,50x50,0.01,5,1250000,0.5461920888888889
2,Token,188.01279616702232,12500000,50x50,0.01,5,1250000,0.54463296
2,Gibbs,375.19143791598617,54000000,10x10,0.0001,5,750000,0.4825685185185185
2,Token,261.68472245900193,38250000,10x10,0.0001,5,750000,0.4823691503267974
2,Gibbs,122.49389437498758,16000000,20x20,0.001,5,1000000,0.5025416875
2,Token,89.9820001659973,12000000,20x20,0.001,5,1000000,0.5049998333333333
2,Gibbs,94.98591000001761,6250000,50x50,0.01,5,1250000,0.544
2,Token,132.02702891701483,8750000,50x50,0.01,5,1250000,0.5498297142857143
2,Gibbs,478.5122836670198,69000000,10x10,0.0001,5,750000,0.4817326811594203
2,Token,261.03307966698776,38250000,10x10,0.0001,5,750000,0.48379524183006534
2,Gibbs,152.83810687501682,20000000,20x20,0.001,5,1000000,0.50498
2,Token,90.40691237500869,12000000,20x20,0.001,5,1000000,0.50820325
2,Gibbs,96.83905016700737,6250000,50x50,0.01,5,1250000,0.57143488
2,Token,152.9039575420029,10000000,50x50,0.01,5,1250000,0.5401994
3,Gibbs,333.2951075419842,48750000,10x10,0.0001,5,750000,0.49703384615384616
3,Token,295.11220008300734,43500000,10x10,0.0001,5,750000,0.49667402298850577
3,Gibbs,128.86890974998823,17000000,20x20,0.001,5,1000000,0.5146960588235294
3,Token,141.50319370799116,19000000,20x20,0.001,5,1000000,0.516002052631579
3,Gibbs,151.6995969999989,10000000,50x50,0.01,5,1250000,0.46475
3,Token,131.22143150001648,8750000,50x50,0.01,5,1250000,0.4603497142857143
3,Gibbs,249.98730287500075,36000000,10x10,0.0001,5,750000,0.4965611111111111
3,Token,323.3174536250008,47250000,10x10,0.0001,5,750000,0.49477551322751323
3,Gibbs,130.41496858300525,17000000,20x20,0.001,5,1000000,0.5096021764705883
3,Token,135.79718808300095,18000000,20x20,0.001,5,1000000,0.5167487222222222
3,Gibbs,150.54287737500272,10000000,50x50,0.01,5,1250000,0.4526314
3,Token,149.21564116701484,10000000,50x50,0.01,5,1250000,0.4701418
3,Gibbs,372.0471642909979,54000000,10x10,0.0001,5,750000,0.49715925925925925
3,Token,245.55386441698647,36000000,10x10,0.0001,5,750000,0.4967858611111111
3,Gibbs,145.48900274999323,19000000,20x20,0.001,5,1000000,0.5132
3,Token,174.0658676669991,23000000,20x20,0.001,5,1000000,0.5152107391304348
3,Gibbs,134.5294284170086,8750000,50x50,0.01,5,1250000,0.46498765714285717
3,Token,187.15978470799746,12500000,50x50,0.01,5,1250000,0.45754112
3,Gibbs,317.8875064580061,45750000,10x10,0.0001,5,750000,0.49890491803278686
3,Token,358.77396479202434,52500000,10x10,0.0001,5,750000,0.4972888952380952
3,Gibbs,198.90762083398295,26000000,20x20,0.001,5,1000000,0.5114283461538461
3,Token,82.97876829199959,11000000,20x20,0.001,5,1000000,0.5144422727272727
3,Gibbs,134.38929712498793,8750000,50x50,0.01,5,1250000,0.4605704
3,Token,132.1400934169942,8750000,50x50,0.01,5,1250000,0.45143394285714283
3,Gibbs,175.86970537499292,25500000,10x10,0.0001,5,750000,0.49677266666666664
3,Token,266.28444295801455,39000000,10x10,0.0001,5,750000,0.4969840512820513
3,Gibbs,152.9252394590003,20000000,20x20,0.001,5,1000000,0.51371755
3,Token,119.4605664999981,16000000,20x20,0.001,5,1000000,0.5183116875
3,Gibbs,96.1506017499778,6250000,50x50,0.01,5,1250000,0.4448
3,Token,150.73292070801836,10000000,50x50,0.01,5,1250000,0.4580096
4,Gibbs,376.23181854200084,54750000,10x10,0.0001,5,750000,0.5154374429223745
4,Token,326.0731764579832,48000000,10x10,0.0001,5,750000,0.51575625
