cycle,sample_type,time_elapsed,parameter,delta,sample_period,estimated_distribution
2,Gibbs,10.040402083999652,10x10,0.001,750000,0.52467
2,Token,14.820446166999318,10x10,0.001,750000,0.5301804444444445
2,Gibbs,66.8573624160017,20x20,0.001,1500000,0.47935444444444447
2,Token,65.99004324999987,20x20,0.001,1500000,0.4866042222222222
2,Gibbs,181.07164054199893,50x50,0.001,2000000,0.49444058333333335
2,Token,177.47222316600164,50x50,0.001,2000000,0.491675
2,Gibbs,15.08031737499914,10x10,0.001,750000,0.5382222222222223
2,Token,30.01816691700151,10x10,0.001,750000,0.5328117777777778
2,Gibbs,33.58367595800155,20x20,0.001,1500000,0.4928
2,Token,43.91331937499854,20x20,0.001,1500000,0.4887668333333333
2,Gibbs,149.89379141700192,50x50,0.001,2000000,0.5177267
2,Token,147.97367691600084,50x50,0.001,2000000,0.5029372
2,Gibbs,10.036398832999112,10x10,0.001,750000,0.5305346666666667
2,Token,29.806470709001587,10x10,0.001,750000,0.5349104444444445
2,Gibbs,44.79361862500082,20x20,0.001,1500000,0.48306666666666664
2,Token,22.080717291002657,20x20,0.001,1500000,0.47417933333333334
2,Gibbs,240.0189847090005,50x50,0.001,2000000,0.498673875
2,Token,206.78111891700246,50x50,0.001,2000000,0.5149799285714286
3,Gibbs,14.981740791998163,10x10,0.001,750000,0.46915555555555555
3,Token,14.765161541999987,10x10,0.001,750000,0.4633288888888889
3,Gibbs,44.42782112500208,20x20,0.001,1500000,0.5056
3,Token,32.94998291599768,20x20,0.001,1500000,0.5047335555555555
3,Gibbs,151.75823395800035,50x50,0.001,2000000,0.5045
3,Token,119.67844474999947,50x50,0.001,2000000,0.50077475
3,Gibbs,25.22908762499719,10x10,0.001,750000,0.4656
3,Token,9.988318250001612,10x10,0.001,750000,0.46687866666666666
3,Gibbs,33.559769292001874,20x20,0.001,1500000,0.5143986666666667
3,Token,55.012801125001715,20x20,0.001,1500000,0.5114414666666667
3,Gibbs,60.88384824999957,50x50,0.001,2000000,0.52512
3,Token,150.14396750000014,50x50,0.001,2000000,0.5056368
3,Gibbs,20.19915787499849,10x10,0.001,750000,0.46508933333333335
3,Token,19.971044207999512,10x10,0.001,750000,0.4646036666666667
3,Gibbs,33.688991667000664,20x20,0.001,1500000,0.5097777777777778
3,Token,22.06956983300188,20x20,0.001,1500000,0.504424
3,Gibbs,60.1477870000017,50x50,0.001,2000000,0.507807
3,Token,267.5097188749969,50x50,0.001,2000000,0.5061257777777778
3,Gibbs,15.150835458000074,10x10,0.001,750000,0.46382222222222225
3,Token,14.942566792000434,10x10,0.001,750000,0.47118444444444446
3,Gibbs,33.70267512499777,20x20,0.001,1500000,0.5070222222222223
3,Token,44.038246125001024,20x20,0.001,1500000,0.5019185
3,Gibbs,182.15974320900204,50x50,0.001,2000000,0.5106135833333333
3,Token,150.30030354100018,50x50,0.001,2000000,0.5099543
3,Gibbs,10.13268537499971,10x10,0.001,750000,0.4714
3,Token,29.898502249998273,10x10,0.001,750000,0.4708348888888889
3,Gibbs,55.74749266700019,20x20,0.001,1500000,0.5010689333333334
3,Token,66.03594416700071,20x20,0.001,1500000,0.5091225555555555
3,Gibbs,244.17838383300113,50x50,0.001,2000000,0.524269875
3,Token,148.9558050839987,50x50,0.001,2000000,0.5054821
4,Gibbs,9.967248041000857,10x10,0.001,750000,0.5144653333333333
4,Token,29.630791957999463,10x10,0.001,750000,0.5110453333333334
4,Gibbs,22.1720194169975,20x20,0.001,1500000,0.47786666666666666
4,Token,54.791794917000516,20x20,0.001,1500000,0.48175266666666666
